DR_NO,DATE OCC,Date Rptd,TIME OCC,AREA,AREA NAME,Rpt Dist No,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,LOCATION,LAT,LON,SexualAssault,Age_Group,DATE_OCC_dt,datetime_occurrence,Premise_Category
211513044,08/14/2021 12:00:00 AM,08/14/2021 12:00:00 AM,130,15,N Hollywood,1585,820,ORAL COPULATION,34,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",10900    BLUFFSIDE                    DR,34.1412,-118.3681,1,30-44,2021-08-14,2021-08-14 01:30:00,Indoor
211225230,12/16/2021 12:00:00 AM,12/16/2021 12:00:00 AM,1600,12,77th Street,1253,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,34,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",7600 S  WESTERN                      AV,33.9707,-118.309,1,30-44,2021-12-16,2021-12-16 16:00:00,Indoor
221705400,11/01/2021 12:00:00 AM,02/03/2022 12:00:00 AM,330,17,Devonshire,1755,121,"RAPE, FORCIBLE",22,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",9900    LINDLEY                      AV,34.2536,-118.5273,1,18-29,2021-11-01,2021-11-01 03:30:00,Indoor
212018204,12/12/2021 12:00:00 AM,12/12/2021 12:00:00 AM,2350,20,Olympic,2091,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,19,F,B,501.0,SINGLE FAMILY DWELLING,2300 W  21ST                         ST,34.0381,-118.314,1,18-29,2021-12-12,2021-12-12 23:50:00,Indoor
211213411,06/03/2021 12:00:00 AM,06/04/2021 12:00:00 AM,100,12,77th Street,1258,121,"RAPE, FORCIBLE",19,F,B,102.0,SIDEWALK,MAIN                         ST,33.9698,-118.2739,1,18-29,2021-06-03,2021-06-03 01:00:00,Outdoor
210116236,09/03/2021 12:00:00 AM,09/03/2021 12:00:00 AM,1330,1,Central,119,860,BATTERY WITH SEXUAL CONTACT,32,F,H,834.0,LA UNION STATION (NOT LINE SPECIFIC),800 N  ALAMEDA                      ST,34.0561,-118.2375,1,30-44,2021-09-03,2021-09-03 13:30:00,Other/Uncategorized
210712330,08/25/2021 12:00:00 AM,08/25/2021 12:00:00 AM,935,7,Wilshire,774,860,BATTERY WITH SEXUAL CONTACT,12,F,H,121.0,YARD (RESIDENTIAL/BUSINESS),1800 S  ORANGE                       DR,34.0413,-118.3495,1,<18,2021-08-25,2021-08-25 09:35:00,Other/Uncategorized
210214984,09/22/2021 12:00:00 AM,09/22/2021 12:00:00 AM,1,2,Rampart,245,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,41,M,H,501.0,SINGLE FAMILY DWELLING,2400    OCEAN VIEW                   AV,34.0627,-118.2769,1,30-44,2021-09-22,2021-09-22 00:01:00,Indoor
211806769,02/24/2021 12:00:00 AM,02/25/2021 12:00:00 AM,2300,18,Southeast,1824,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,22,F,B,501.0,SINGLE FAMILY DWELLING,900 E  94TH                         ST,33.9511,-118.2586,1,18-29,2021-02-24,2021-02-24 23:00:00,Indoor
210109424,04/26/2021 12:00:00 AM,04/26/2021 12:00:00 AM,600,1,Central,151,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,18,F,H,503.0,HOTEL,900    WILSHIRE                     BL,34.0501,-118.2593,1,18-29,2021-04-26,2021-04-26 06:00:00,Other/Uncategorized
